,patent
0,5582184
1,5423046
2,5899938
3,5447966
4,4625276
5,4922238
6,4935339
7,3925805
8,5694115
9,5747504
10,5355501
11,5295090
12,5846534
13,5250218
14,5116584
15,5881301
16,4961373
17,5433703
18,5682325
19,5878937
20,4459396
21,4879711
22,5676679
23,5134071
24,5843156
25,4327194
26,5948434
27,5122363
28,5126768
29,5228080
30,5319737
31,5691380
32,4252706
33,4762892
34,5623615
35,5181919
36,5695840
37,5268963
38,5616588
39,5471906
40,5964121
41,5451424
42,5776075
43,4915767
44,4551321
45,5796992
46,5504509
47,5336649
48,5836447
49,5325309
50,5547512
51,4943424
52,4683884
53,4157288
54,5018187
55,4644034
56,5691034
57,4950738
58,5008805
59,5485579
60,4552670
61,5594122
62,5091109
63,6008824
64,4975369
65,4768507
66,4772532
67,5500222
68,4786688
69,4805106
70,5890217
71,4049483
72,5436033
73,5215570
74,5969837
75,5763635
76,5653940
77,5093005
78,5344413
79,5677927
80,5544297
81,4899761
82,5624449
83,4480307
84,5340996
85,5507911
86,3872024
87,4392907
88,5141459
89,5340531
90,5943655
91,3930419
92,5546165
93,4541012
94,5784289
95,5549556
96,5416901
97,5156991
98,5917062
99,4621081
100,5776128
101,5828661
102,4690921
103,5859231
104,5851990
105,4837232
106,4945504
107,5467274
108,4763994
109,5087513
110,4833701
111,5837071
112,4903049
113,5424166
114,5484418
115,6001982
116,5297067
117,5128996
118,4997655
119,5325082
120,4860247
121,5675607
122,5237460
123,5595936
124,4980192
125,4491634
126,5596526
127,5680583
128,5728638
129,4039633
130,5280521
131,4442501
132,5793661
133,5960795
134,4885226
135,5922782
136,5959623
137,5515491
138,5406124
139,4162411
140,5205506
141,5613954
142,5980950
143,4263602
144,5758164
145,5941949
146,4239646
147,5984512
148,4972460
149,5737733
150,5315382
151,4800577
152,5233539
153,3906057
154,5089656
155,4218760
156,5730750
157,5754154
158,5601863
159,5058002
160,5703571
161,4983109
162,5556993
163,5938874
164,5730737
165,5485475
166,3940276
167,5550551
168,4863738
169,5536256
170,5510178
171,5458983
172,5752067
173,5650278
174,4638907
175,4044335
176,4309721
177,5763573
178,5208665
179,5314707
180,4640907
181,4485134
182,5693080
183,5357956
184,4859311
185,5710287
186,4819154
187,4979056
188,5487027
189,4610686
190,5591549
191,5155322
192,5811928
193,4647713
194,4181422
195,5046042
196,5398042
197,5707632
198,5949715
199,4610383
200,5192528
201,5562609
202,4194038
203,5576337
204,4539637
205,5755810
206,5983190
207,5380599
208,5782908
209,5698076
210,5873069
211,5258791
212,4847781
213,5138079
214,4789614
215,5476985
216,5916196
217,5316784
218,5680163
219,5909450
220,4342826
221,4067851
222,5325423
223,5964716
224,4460634
225,5908728
226,4275813
227,5714547
228,5402160
229,5122407
230,4153554
231,5195136
232,4128984
233,5614444
234,5263629
235,5940727
236,5423989
237,4277837
238,5057098
239,4374960
240,5912287
241,4423136
242,5733629
243,5679364
244,4440871
245,5163842
246,5158148
247,5739175
248,5761415
249,5234634
250,5601978
251,4985021
252,5223844
253,4456586
254,5340614
255,4371926
256,5588816
257,4863705
258,4822694
259,5379436
260,5671103
261,4841613
262,5878220
263,5930683
264,5479479
265,5231694
266,5545262
267,4546360
268,4444195
269,5552779
270,4795435
271,5980812
272,5075078
273,4243618
274,5789201
275,4495579
276,4960807
277,5546410
278,4841502
279,5738100
280,4827406
281,5059426
282,5465896
283,5925562
284,5948695
285,5687116
286,5188618
287,4974146
288,4548852
289,4756710
290,5224952
291,4093985
292,5617552
293,5342419
294,5308336
295,5532363
296,5846517
297,5533142
298,5634901
299,5424359
300,5799200
301,5061784
302,5323448
303,5241655
304,5622881
305,3903526
306,5402441
307,5487863
308,4316019
309,4631336
310,5676971
311,4252849
312,5943039
313,5807669
314,5727147
315,4835631
316,5594885
317,5616387
318,5544301
319,4547564
320,5980945
321,4969136
322,5310721
323,5695832
324,5955143
325,5230899
326,5808996
327,5596357
328,5663357
329,5626601
330,5151776
331,5281234
332,4800886
333,5521101
334,4804712
335,4490458
336,5276869
337,4721612
338,5917947
339,4618524
340,4190642
341,5510625
342,5517223
343,5597839
344,5480455
345,5140104
346,5582903
347,5609843
348,5890799
349,5155181
350,5101344
351,5507728
352,5400460
353,5838790
354,5595527
355,5431668
356,4893626
357,4034351
358,5034139
359,5525453
360,5768358
361,4111421
362,5367165
363,5594364
364,4950526
365,4781890
366,4552908
367,5098403
368,5611775
369,5523190
370,5203887
371,4979613
372,5209730
373,4506435
374,4836203
375,5119131
376,5645209
377,5588043
378,5223409
379,5732136
380,5745698
381,4953953
382,5546420
383,5427739
384,4091140
385,5359320
386,5026882
387,5059480
388,5220536
389,5369695
390,3943044
391,4348213
392,3886939
393,5279928
394,5487385
395,4480811
396,5382504
397,5369786
398,5407676
399,5331538
400,4535050
401,5011888
402,4698261
403,4416962
404,5707354
405,5925016
406,5966272
407,5506611
408,3431706
409,5251044
410,5737525
411,5689638
412,5200859
413,5210847
414,5522853
415,4772420
416,5510171
417,5055371
418,5686262
419,5470598
420,5878387
421,5329405
422,4603152
423,4130532
424,5469197
425,5217472
426,5777641
427,4757496
428,5177226
429,4543621
430,4940963
431,5726725
432,4847125
433,4910117
434,5821606
435,4500880
436,5434971
437,5067071
438,5159353
439,5846253
440,5194871
441,5567687
442,5574927
443,4686148
444,4513158
445,4206516
446,5554516
447,4373061
448,5939230
449,5707901
450,4542096
451,5313291
452,5630063
453,5756118
454,5342501
455,5918014
456,4689040
457,4853453
458,5649167
459,5805602
460,5444652
461,4322333
462,5405558
463,5040107
464,4306111
465,3903032
466,5088108
467,5581292
